job_id,asset_id,department,corridor_id,station,km,job_type,severity,priority_score,due_date,estimated_duration_min,crew_required,equipment_required,block_required,status,source_system
SMMS-JOB-324,SMMS-C01-SIG-0524,S&T,C01,BPP,78.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-11,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-325,SMMS-C02-SIG-0525,S&T,C02,SLO,152.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-12,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-326,SMMS-C03-SIG-0526,S&T,C03,NRT,48.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-13,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-327,SMMS-C04-SIG-0527,S&T,C04,HX,187.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-14,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-328,SMMS-C01-SIG-0528,S&T,C01,KVZ,207.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-15,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-329,SMMS-C02-SIG-0529,S&T,C02,EE,294.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-09,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-330,SMMS-C03-SIG-0530,S&T,C03,GID,206.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-10,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-331,SMMS-C04-SIG-0531,S&T,C04,GTL,10.5,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-11,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-332,SMMS-C01-SIG-0532,S&T,C01,TEL,36.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-12,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-333,SMMS-C02-SIG-0533,S&T,C02,TUNI,101.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-13,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-334,SMMS-C03-SIG-0534,S&T,C03,VKN,87.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-14,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-335,SMMS-C04-SIG-0535,S&T,C04,YA,146.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-15,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-336,SMMS-C01-SIG-0536,S&T,C01,SKM,168.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-09,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-337,SMMS-C02-SIG-0537,S&T,C02,NDD,226.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-10,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-338,SMMS-C03-SIG-0538,S&T,C03,NDL,256.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-11,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-339,SMMS-C04-SIG-0539,S&T,C04,RU,313.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-12,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-340,SMMS-C01-SIG-0540,S&T,C01,BZA,10.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-13,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-341,SMMS-C01-SIG-0501,S&T,C01,OGL,124.6,AXLE_COUNTER_PERIODIC_CHECK,MEDIUM,68,2026-09-15,,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
