job_id,asset_id,department,corridor_id,station,km,job_type,severity,priority_score,due_date,estimated_duration_min,crew_required,equipment_required,block_required,status,source_system
TDMS-JOB-211,TDMS-C04-OHE-0231,Traction,C04,RJP,238.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-212,TDMS-C01-OHE-0232,Traction,C01,NLR,258.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-213,TDMS-C02-OHE-0233,Traction,C02,TUNI,101.5,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-214,TDMS-C03-OHE-0234,Traction,C03,DKD,122.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-15,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-215,TDMS-C04-OHE-0235,Traction,C04,GY,32.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-16,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-216,TDMS-C01-OHE-0236,Traction,C01,BPP,77.3,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-09,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-217,TDMS-C02-OHE-0237,Traction,C02,NDD,226.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-10,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-218,TDMS-C03-OHE-0238,Traction,C03,GNT,13.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-11,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-219,TDMS-C04-OHE-0239,Traction,C04,HX,188.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-220,TDMS-C01-OHE-0240,Traction,C01,KVZ,206.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-221,TDMS-C02-OHE-0241,Traction,C02,DVD,20.9,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-222,TDMS-C03-OHE-0242,Traction,C03,MRK,147.8,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-15,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-223,TDMS-C04-OHE-0243,Traction,C04,GTL,11.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-16,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-224,TDMS-C01-OHE-0244,Traction,C01,TEL,36.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-09,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-225,TDMS-C02-OHE-0245,Traction,C02,SLO,154.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-10,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-226,TDMS-C03-OHE-0246,Traction,C03,NRT,48.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-11,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-227,TDMS-C04-OHE-0247,Traction,C04,YA,146.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-228,TDMS-C01-OHE-0248,Traction,C01,SKM,168.8,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-229,TDMS-C02-OHE-0249,Traction,C02,EE,293.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-230,TDMS-C03-OHE-0250,Traction,C03,GID,207.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-15,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-231,TDMS-C04-OHE-0251,Traction,C04,RU,313.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-16,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-232,TDMS-C01-OHE-0252,Traction,C01,BZA,10.5,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-09,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-233,TDMS-C02-OHE-0253,Traction,C02,TUNI,99.9,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-10,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-234,TDMS-C03-OHE-0254,Traction,C03,VKN,85.8,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-11,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-235,TDMS-C04-OHE-0255,Traction,C04,KDP,107.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-236,TDMS-C01-OHE-0256,Traction,C01,OGL,136.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-237,TDMS-C02-OHE-0257,Traction,C02,NDD,227.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-238,TDMS-C03-OHE-0258,Traction,C03,NDL,255.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-15,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-239,TDMS-C04-OHE-0259,Traction,C04,KOU,270.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-16,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-240,TDMS-C01-OHE-0201,Traction,C01,OGL,124.3,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-09,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-241,TDMS-C01-ISO-0202,Traction,C01,OGL,124.6,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-10,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-242,TDMS-C02-CAT-0301,Traction,C02,SLO,150.5,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-11,75,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-243,TDMS-C04-OHE-0203,Traction,C04,HX,188.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-244,TDMS-C01-OHE-0204,Traction,C01,KVZ,206.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-245,TDMS-C02-OHE-0205,Traction,C02,SLO,152.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-246,TDMS-UNKNOWN-002,Traction,C01,OGL,124.8,ISOLATOR_SWITCH_OVERHAUL,HIGH,78,2026-09-17,,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-247,TDMS-UNKNOWN-003,Traction,C01,OGL,124.9,CIRCUIT_BREAKER_OVERHAUL,CRITICAL,90,2026-09-18,,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-248,TDMS-UNKNOWN-004,Traction,C01,OGL,124.9,TRANSFORMER_OIL_TESTING,HIGH,77,2026-09-19,,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-249,TDMS-UNKNOWN-005,Traction,C01,OGL,124.9,OVERHEAD_FEEDER_MAINTENANCE,MEDIUM,70,2026-09-20,,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
