asset_id,asset_type,subtype,station,division,zone,corridor_id,km,criticality,installation_date,condition_score,status
TDMS-C04-OHE-0219,CANTILEVER_MAST,25kV OHE Structure KDP Bay 4,KDP,Guntakal,SCoR,C04,107.2,HIGH,2017-10-20,87,MAINTENANCE_DUE
TDMS-C01-OHE-0220,AUTO_TENSION_AT,25kV OHE Structure OGL Bay 5,OGL,Vijayawada,SCoR,C01,136.6,MEDIUM,2018-10-20,88,OPERATIONAL
TDMS-C02-OHE-0221,OHE_SECTION_ISOLATOR,25kV OHE Structure DVD Bay 6,DVD,Vijayawada,SCoR,C02,22.5,MEDIUM,2019-10-20,89,OPERATIONAL
TDMS-C03-OHE-0222,CANTILEVER_MAST,25kV OHE Structure GID Bay 7,GID,Guntur,SCoR,C03,206.0,HIGH,20110-10-20,90,MAINTENANCE_DUE
TDMS-C04-OHE-0223,OHE_SECTION_ISOLATOR,25kV OHE Structure KOU Bay 8,KOU,Guntakal,SCoR,C04,270.4,MEDIUM,20111-10-20,91,OPERATIONAL
TDMS-C01-OHE-0224,AUTO_TENSION_AT,25kV OHE Structure GDR Bay 1,GDR,Vijayawada,SCoR,C01,290.8,MEDIUM,2014-10-20,92,OPERATIONAL
TDMS-C02-OHE-0225,CANTILEVER_MAST,25kV OHE Structure SLO Bay 2,SLO,Vijayawada,SCoR,C02,153.2,HIGH,2015-10-20,93,MAINTENANCE_DUE
TDMS-C03-OHE-0226,AUTO_TENSION_AT,25kV OHE Structure VKN Bay 3,VKN,Guntur,SCoR,C03,86.6,MEDIUM,2016-10-20,94,OPERATIONAL
TDMS-C04-OHE-0227,OHE_SECTION_ISOLATOR,25kV OHE Structure TU Bay 4,TU,Guntakal,SCoR,C04,81.0,MEDIUM,2017-10-20,95,OPERATIONAL
TDMS-C01-OHE-0228,CANTILEVER_MAST,25kV OHE Structure CLX Bay 5,CLX,Vijayawada,SCoR,C01,92.0,HIGH,2018-10-20,58,MAINTENANCE_DUE
TDMS-C02-OHE-0229,OHE_SECTION_ISOLATOR,25kV OHE Structure EE Bay 6,EE,Vijayawada,SCoR,C02,292.4,MEDIUM,2019-10-20,59,OPERATIONAL
TDMS-C03-OHE-0230,AUTO_TENSION_AT,25kV OHE Structure NDL Bay 7,NDL,Guntur,SCoR,C03,255.8,MEDIUM,20110-10-20,60,OPERATIONAL
TDMS-C04-OHE-0231,CANTILEVER_MAST,25kV OHE Structure RJP Bay 8,RJP,Guntakal,SCoR,C04,238.2,HIGH,20111-10-20,61,MAINTENANCE_DUE
TDMS-C01-OHE-0232,AUTO_TENSION_AT,25kV OHE Structure NLR Bay 1,NLR,Vijayawada,SCoR,C01,258.6,MEDIUM,2014-10-20,62,OPERATIONAL
TDMS-C02-OHE-0233,OHE_SECTION_ISOLATOR,25kV OHE Structure TUNI Bay 2,TUNI,Vijayawada,SCoR,C02,101.5,MEDIUM,2015-10-20,63,OPERATIONAL
TDMS-C03-OHE-0234,CANTILEVER_MAST,25kV OHE Structure DKD Bay 3,DKD,Guntur,SCoR,C03,122.0,HIGH,2016-10-20,64,MAINTENANCE_DUE
TDMS-C04-OHE-0235,OHE_SECTION_ISOLATOR,25kV OHE Structure GY Bay 4,GY,Guntakal,SCoR,C04,32.4,MEDIUM,2017-10-20,65,OPERATIONAL
TDMS-C01-OHE-0236,AUTO_TENSION_AT,25kV OHE Structure BPP Bay 5,BPP,Vijayawada,SCoR,C01,77.3,MEDIUM,2018-10-20,66,OPERATIONAL
TDMS-C02-OHE-0237,CANTILEVER_MAST,25kV OHE Structure NDD Bay 6,NDD,Vijayawada,SCoR,C02,226.2,HIGH,2019-10-20,67,MAINTENANCE_DUE
TDMS-C03-OHE-0238,AUTO_TENSION_AT,25kV OHE Structure GNT Bay 7,GNT,Guntur,SCoR,C03,13.6,MEDIUM,20110-10-20,68,OPERATIONAL
TDMS-C04-OHE-0239,OHE_SECTION_ISOLATOR,25kV OHE Structure HX Bay 8,HX,Guntakal,SCoR,C04,188.0,MEDIUM,20111-10-20,69,OPERATIONAL
TDMS-C01-OHE-0240,CANTILEVER_MAST,25kV OHE Structure KVZ Bay 1,KVZ,Vijayawada,SCoR,C01,206.0,HIGH,2014-10-20,70,MAINTENANCE_DUE
TDMS-C02-OHE-0241,OHE_SECTION_ISOLATOR,25kV OHE Structure DVD Bay 2,DVD,Vijayawada,SCoR,C02,20.9,MEDIUM,2015-10-20,71,OPERATIONAL
TDMS-C03-OHE-0242,AUTO_TENSION_AT,25kV OHE Structure MRK Bay 3,MRK,Guntur,SCoR,C03,147.8,MEDIUM,2016-10-20,72,OPERATIONAL
TDMS-C04-OHE-0243,CANTILEVER_MAST,25kV OHE Structure GTL Bay 4,GTL,Guntakal,SCoR,C04,11.2,HIGH,2017-10-20,73,MAINTENANCE_DUE
TDMS-C01-OHE-0244,AUTO_TENSION_AT,25kV OHE Structure TEL Bay 5,TEL,Vijayawada,SCoR,C01,36.6,MEDIUM,2018-10-20,74,OPERATIONAL
TDMS-C02-OHE-0245,OHE_SECTION_ISOLATOR,25kV OHE Structure SLO Bay 6,SLO,Vijayawada,SCoR,C02,154.0,MEDIUM,2019-10-20,75,OPERATIONAL
TDMS-C03-OHE-0246,CANTILEVER_MAST,25kV OHE Structure NRT Bay 7,NRT,Guntur,SCoR,C03,48.0,HIGH,20110-10-20,76,MAINTENANCE_DUE
TDMS-C04-OHE-0247,OHE_SECTION_ISOLATOR,25kV OHE Structure YA Bay 8,YA,Guntakal,SCoR,C04,146.4,MEDIUM,20111-10-20,77,OPERATIONAL
TDMS-C01-OHE-0248,AUTO_TENSION_AT,25kV OHE Structure SKM Bay 1,SKM,Vijayawada,SCoR,C01,168.8,MEDIUM,2014-10-20,78,OPERATIONAL
TDMS-C02-OHE-0249,CANTILEVER_MAST,25kV OHE Structure EE Bay 2,EE,Vijayawada,SCoR,C02,293.2,HIGH,2015-10-20,79,MAINTENANCE_DUE
TDMS-C03-OHE-0250,AUTO_TENSION_AT,25kV OHE Structure GID Bay 3,GID,Guntur,SCoR,C03,207.6,MEDIUM,2016-10-20,80,OPERATIONAL
TDMS-C04-OHE-0251,OHE_SECTION_ISOLATOR,25kV OHE Structure RU Bay 4,RU,Guntakal,SCoR,C04,313.0,MEDIUM,2017-10-20,81,OPERATIONAL
TDMS-C01-OHE-0252,CANTILEVER_MAST,25kV OHE Structure BZA Bay 5,BZA,Vijayawada,SCoR,C01,10.5,HIGH,2018-10-20,82,MAINTENANCE_DUE
TDMS-C02-OHE-0253,OHE_SECTION_ISOLATOR,25kV OHE Structure TUNI Bay 6,TUNI,Vijayawada,SCoR,C02,99.9,MEDIUM,2019-10-20,83,OPERATIONAL
TDMS-C03-OHE-0254,AUTO_TENSION_AT,25kV OHE Structure VKN Bay 7,VKN,Guntur,SCoR,C03,85.8,MEDIUM,20110-10-20,84,OPERATIONAL
TDMS-C04-OHE-0255,CANTILEVER_MAST,25kV OHE Structure KDP Bay 8,KDP,Guntakal,SCoR,C04,107.2,HIGH,20111-10-20,85,MAINTENANCE_DUE
TDMS-C01-OHE-0256,AUTO_TENSION_AT,25kV OHE Structure OGL Bay 1,OGL,Vijayawada,SCoR,C01,136.6,MEDIUM,2014-10-20,86,OPERATIONAL
TDMS-C02-OHE-0257,OHE_SECTION_ISOLATOR,25kV OHE Structure NDD Bay 2,NDD,Vijayawada,SCoR,C02,227.0,MEDIUM,2015-10-20,87,OPERATIONAL
TDMS-C03-OHE-0258,CANTILEVER_MAST,25kV OHE Structure NDL Bay 3,NDL,Guntur,SCoR,C03,255.0,HIGH,2016-10-20,88,MAINTENANCE_DUE
TDMS-C04-OHE-0259,OHE_SECTION_ISOLATOR,25kV OHE Structure KOU Bay 4,KOU,Guntakal,SCoR,C04,270.4,MEDIUM,2017-10-20,89,OPERATIONAL
