block_request_id,corridor_id,department,requested_date,requested_start,requested_end,requested_duration_min,reason,status,station,km_range
BDMS-REQ-0050,C03,S&T,2026-09-08,05:00,07:30,150,Siloed departmental maintenance request at NRT section,PENDING_CP_SAT_EVALUATION,NRT,48.0-51.0
BDMS-REQ-0051,C04,Engineering,2026-09-09,07:00,10:30,180,Siloed departmental maintenance request at RJP section,PENDING_CP_SAT_EVALUATION,RJP,237.0-240.0
BDMS-REQ-0052,C01,Traction,2026-09-10,09:00,10:30,90,Siloed departmental maintenance request at NLR section,PENDING_CP_SAT_EVALUATION,NLR,257.0-260.0
BDMS-REQ-0053,C02,S&T,2026-09-11,11:00,13:30,120,Siloed departmental maintenance request at TUNI section,PENDING_CP_SAT_EVALUATION,TUNI,99.5-102.5
BDMS-REQ-0054,C03,Engineering,2026-09-12,13:00,15:30,150,Siloed departmental maintenance request at GID section,PENDING_CP_SAT_EVALUATION,GID,206.0-209.0
BDMS-REQ-0055,C04,Traction,2026-09-08,15:00,18:30,180,Siloed departmental maintenance request at GY section,PENDING_CP_SAT_EVALUATION,GY,32.0-35.0
BDMS-REQ-0056,C01,S&T,2026-09-09,17:00,18:30,90,Siloed departmental maintenance request at BPP section,PENDING_CP_SAT_EVALUATION,BPP,76.5-79.5
BDMS-REQ-0057,C02,Engineering,2026-09-10,19:00,21:30,120,Siloed departmental maintenance request at NDD section,PENDING_CP_SAT_EVALUATION,NDD,225.0-228.0
BDMS-REQ-0058,C03,Traction,2026-09-11,21:00,23:30,150,Siloed departmental maintenance request at VKN section,PENDING_CP_SAT_EVALUATION,VKN,85.0-88.0
BDMS-REQ-0059,C04,S&T,2026-09-12,23:00,02:30,180,Siloed departmental maintenance request at HX section,PENDING_CP_SAT_EVALUATION,HX,186.0-189.0
BDMS-REQ-0060,C01,Engineering,2026-09-08,01:00,02:30,90,Siloed departmental maintenance request at KVZ section,PENDING_CP_SAT_EVALUATION,KVZ,206.0-209.0
BDMS-REQ-0061,C02,Traction,2026-09-09,03:00,05:30,120,Siloed departmental maintenance request at DVD section,PENDING_CP_SAT_EVALUATION,DVD,20.5-23.5
BDMS-REQ-0062,C03,S&T,2026-09-10,05:00,07:30,150,Siloed departmental maintenance request at NDL section,PENDING_CP_SAT_EVALUATION,NDL,255.0-258.0
BDMS-REQ-0063,C04,Engineering,2026-09-11,07:00,10:30,180,Siloed departmental maintenance request at GTL section,PENDING_CP_SAT_EVALUATION,GTL,10.0-13.0
BDMS-REQ-0064,C01,Traction,2026-09-12,09:00,10:30,90,Siloed departmental maintenance request at TEL section,PENDING_CP_SAT_EVALUATION,TEL,35.0-38.0
BDMS-REQ-0065,C02,S&T,2026-09-08,11:00,13:30,120,Siloed departmental maintenance request at SLO section,PENDING_CP_SAT_EVALUATION,SLO,152.0-155.0
