train_id,train_name,train_type,corridor_id,direction,entry_time,exit_time,entry_min,exit_min,priority,days
FRT-8032,Gudur Goods BoxN #32,FREIGHT_CEMENT,C01,UP,01:15,06:45,75,405,LOW,DAILY
PAS-8033,Krishnapatnam Port Coal #33,PARCEL_EXPRESS,C02,DOWN,04:15,07:45,255,465,MEDIUM,DAILY
PAS-8034,Gudur Goods BoxN #34,PASSENGER_SPECIAL,C03,UP,07:15,11:45,435,705,MEDIUM,DAILY
FRT-8035,Vizag Steel Rake #35,FREIGHT_COAL_RAKE,C04,DOWN,10:15,15:45,615,945,LOW,DAILY
FRT-8036,Krishnapatnam Port Coal #36,FREIGHT_CONTAINER,C01,UP,13:15,16:45,795,1005,LOW,DAILY
FRT-8037,Vizag Steel Rake #37,FREIGHT_CEMENT,C02,DOWN,16:15,20:45,975,1245,LOW,DAILY
PAS-8038,Gudur Goods BoxN #38,PARCEL_EXPRESS,C03,UP,19:15,00:45,1155,45,MEDIUM,DAILY
PAS-8039,Krishnapatnam Port Coal #39,PASSENGER_SPECIAL,C04,DOWN,22:15,01:45,1335,105,MEDIUM,DAILY
FRT-8040,Gudur Goods BoxN #40,FREIGHT_COAL_RAKE,C01,UP,01:15,05:45,75,345,LOW,DAILY
FRT-8041,Vizag Steel Rake #41,FREIGHT_CONTAINER,C02,DOWN,04:15,09:45,255,585,LOW,DAILY
FRT-8042,Krishnapatnam Port Coal #42,FREIGHT_CEMENT,C03,UP,07:15,10:45,435,645,LOW,DAILY
PAS-8043,Vizag Steel Rake #43,PARCEL_EXPRESS,C04,DOWN,10:15,14:45,615,885,MEDIUM,DAILY
PAS-8044,Gudur Goods BoxN #44,PASSENGER_SPECIAL,C01,UP,13:15,18:45,795,1125,MEDIUM,DAILY
FRT-8045,Krishnapatnam Port Coal #45,FREIGHT_COAL_RAKE,C02,DOWN,16:15,19:45,975,1185,LOW,DAILY
FRT-8046,Gudur Goods BoxN #46,FREIGHT_CONTAINER,C03,UP,19:15,23:45,1155,1425,LOW,DAILY
FRT-8047,Vizag Steel Rake #47,FREIGHT_CEMENT,C04,DOWN,22:15,03:45,1335,225,LOW,DAILY
PAS-8048,Krishnapatnam Port Coal #48,PARCEL_EXPRESS,C01,UP,01:15,04:45,75,285,MEDIUM,DAILY
PAS-8049,Vizag Steel Rake #49,PASSENGER_SPECIAL,C02,DOWN,04:15,08:45,255,525,MEDIUM,DAILY
FRT-8050,Gudur Goods BoxN #50,FREIGHT_COAL_RAKE,C03,UP,07:15,12:45,435,765,LOW,DAILY
FRT-8051,Krishnapatnam Port Coal #51,FREIGHT_CONTAINER,C04,DOWN,10:15,13:45,615,825,LOW,DAILY
FRT-8052,Gudur Goods BoxN #52,FREIGHT_CEMENT,C01,UP,13:15,17:45,795,1065,LOW,DAILY
PAS-8053,Vizag Steel Rake #53,PARCEL_EXPRESS,C02,DOWN,16:15,21:45,975,1305,MEDIUM,DAILY
PAS-8054,Krishnapatnam Port Coal #54,PASSENGER_SPECIAL,C03,UP,19:15,22:45,1155,1365,MEDIUM,DAILY
FRT-8055,Vizag Steel Rake #55,FREIGHT_COAL_RAKE,C04,DOWN,22:15,02:45,1335,165,LOW,DAILY
FRT-8056,Gudur Goods BoxN #56,FREIGHT_CONTAINER,C01,UP,01:15,06:45,75,405,LOW,DAILY
FRT-8057,Krishnapatnam Port Coal #57,FREIGHT_CEMENT,C02,DOWN,04:15,07:45,255,465,LOW,DAILY
PAS-8058,Gudur Goods BoxN #58,PARCEL_EXPRESS,C03,UP,07:15,11:45,435,705,MEDIUM,DAILY
PAS-8059,Vizag Steel Rake #59,PASSENGER_SPECIAL,C04,DOWN,10:15,15:45,615,945,MEDIUM,DAILY
FRT-8060,Krishnapatnam Port Coal #60,FREIGHT_COAL_RAKE,C01,UP,13:15,16:45,795,1005,LOW,DAILY
FRT-8061,Vizag Steel Rake #61,FREIGHT_CONTAINER,C02,DOWN,16:15,20:45,975,1245,LOW,DAILY
FRT-8062,Gudur Goods BoxN #62,FREIGHT_CEMENT,C03,UP,19:15,00:45,1155,45,LOW,DAILY
PAS-8063,Krishnapatnam Port Coal #63,PARCEL_EXPRESS,C04,DOWN,22:15,01:45,1335,105,MEDIUM,DAILY
PAS-8064,Gudur Goods BoxN #64,PASSENGER_SPECIAL,C01,UP,01:15,05:45,75,345,MEDIUM,DAILY
FRT-8065,Vizag Steel Rake #65,FREIGHT_COAL_RAKE,C02,DOWN,04:15,09:45,255,585,LOW,DAILY
FRT-8066,Krishnapatnam Port Coal #66,FREIGHT_CONTAINER,C03,UP,07:15,10:45,435,645,LOW,DAILY
FRT-8067,Vizag Steel Rake #67,FREIGHT_CEMENT,C04,DOWN,10:15,14:45,615,885,LOW,DAILY
PAS-8068,Gudur Goods BoxN #68,PARCEL_EXPRESS,C01,UP,13:15,18:45,795,1125,MEDIUM,DAILY
PAS-8069,Krishnapatnam Port Coal #69,PASSENGER_SPECIAL,C02,DOWN,16:15,19:45,975,1185,MEDIUM,DAILY
FRT-8070,Gudur Goods BoxN #70,FREIGHT_COAL_RAKE,C03,UP,19:15,23:45,1155,1425,LOW,DAILY
FRT-8071,Vizag Steel Rake #71,FREIGHT_CONTAINER,C04,DOWN,22:15,03:45,1335,225,LOW,DAILY
FRT-8072,Krishnapatnam Port Coal #72,FREIGHT_CEMENT,C01,UP,01:15,04:45,75,285,LOW,DAILY
PAS-8073,Vizag Steel Rake #73,PARCEL_EXPRESS,C02,DOWN,04:15,08:45,255,525,MEDIUM,DAILY
PAS-8074,Gudur Goods BoxN #74,PASSENGER_SPECIAL,C03,UP,07:15,12:45,435,765,MEDIUM,DAILY
FRT-8075,Krishnapatnam Port Coal #75,FREIGHT_COAL_RAKE,C04,DOWN,10:15,13:45,615,825,LOW,DAILY
